brand_name,industry,times_advertised,linkedin_slug,domain,google_url
Evangelia,Music,73,,,https://www.google.com/search?q=Evangelia%20official%20website%20Greece
Sex Academy,Education,72,,,https://www.google.com/search?q=Sex%20Academy%20official%20website%20Greece
Cookie Man,Confectionery,72,,,https://www.google.com/search?q=Cookie%20Man%20official%20website%20Greece
Anastasia Beverly Hills,Beauty,72,anastasia-beverly-hills,,https://www.google.com/search?q=Anastasia%20Beverly%20Hills%20official%20website%20Greece
Healthy Habits,Food,72,,,https://www.google.com/search?q=Healthy%20Habits%20official%20website%20Greece
Golden Rose,Beauty,72,golden-rose-cosmetics,,https://www.google.com/search?q=Golden%20Rose%20official%20website%20Greece
Brain Balance Consulting,Health,71,,,https://www.google.com/search?q=Brain%20Balance%20Consulting%20official%20website%20Greece
ASU ACTIVE,Activewear,71,,,https://www.google.com/search?q=ASU%20ACTIVE%20official%20website%20Greece
N1 Casino,Entertainment,71,,,https://www.google.com/search?q=N1%20Casino%20official%20website%20Greece
Saint Laurent,Fashion,71,,,https://www.google.com/search?q=Saint%20Laurent%20official%20website%20Greece
Scandal Beauty,Beauty,70,,,https://www.google.com/search?q=Scandal%20Beauty%20official%20website%20Greece
Makeup Closet,Beauty,70,,,https://www.google.com/search?q=Makeup%20Closet%20official%20website%20Greece
Lacta,Food,70,,,https://www.google.com/search?q=Lacta%20official%20website%20Greece
Dettol,Cleaning / Hygiene Products,70,,,https://www.google.com/search?q=Dettol%20official%20website%20Greece
Surfless,Sports,70,,,https://www.google.com/search?q=Surfless%20official%20website%20Greece
Alpro,Dairy Alternatives,70,,,https://www.google.com/search?q=Alpro%20official%20website%20Greece
Glow Recipe,Beauty,70,glow-recipe,,https://www.google.com/search?q=Glow%20Recipe%20official%20website%20Greece
Jacquemus,Fashion,70,,,https://www.google.com/search?q=Jacquemus%20official%20website%20Greece
Nikos Vertis,Music,69,,,https://www.google.com/search?q=Nikos%20Vertis%20official%20website%20Greece
Moneto,Insurance,69,,,https://www.google.com/search?q=Moneto%20official%20website%20Greece
Skin1004,Beauty,68,skin1004,,https://www.google.com/search?q=Skin1004%20official%20website%20Greece
Jet2,Travel,68,,,https://www.google.com/search?q=Jet2%20official%20website%20Greece
Anua,Beauty,68,anua,,https://www.google.com/search?q=Anua%20official%20website%20Greece
attrattivo,Fashion,68,,,https://www.google.com/search?q=attrattivo%20official%20website%20Greece
Hourglass Cosmetics,Beauty,68,hourglass-cosmetics,,https://www.google.com/search?q=Hourglass%20Cosmetics%20official%20website%20Greece
Longchamp,Fashion,68,,,https://www.google.com/search?q=Longchamp%20official%20website%20Greece
Renfluence,Technology,68,,,https://www.google.com/search?q=Renfluence%20official%20website%20Greece
Porsche,Automotive,68,,,https://www.google.com/search?q=Porsche%20official%20website%20Greece
Bershka,Apparel and Fashion,68,,,https://www.google.com/search?q=Bershka%20official%20website%20Greece
E-Daily,Media,67,,,https://www.google.com/search?q=E-Daily%20official%20website%20Greece
Ohuhu,Art,67,,,https://www.google.com/search?q=Ohuhu%20official%20website%20Greece
KS Medical Products,Beauty,67,,,https://www.google.com/search?q=KS%20Medical%20Products%20official%20website%20Greece
PĒLION - Natural Luxury,Beauty,66,,,https://www.google.com/search?q=P%C4%92LION%20-%20Natural%20Luxury%20official%20website%20Greece
Lipton,Beverage,66,,,https://www.google.com/search?q=Lipton%20official%20website%20Greece
Anastasia Fakli Collection,Fashion,66,,,https://www.google.com/search?q=Anastasia%20Fakli%20Collection%20official%20website%20Greece
Rythmos 94.9,Entertainment,66,,,https://www.google.com/search?q=Rythmos%2094.9%20official%20website%20Greece
Yamaha,Automotive,65,,,https://www.google.com/search?q=Yamaha%20official%20website%20Greece
